개방서비스명,상세영업상태명,도로명전체주소,도로명우편번호,사업장명,좌표정보x,좌표정보y
물류창고업체,영업중,전라남도 해남군 문내면 명량로 837,536-874,영농조합법인해남대명유통,142076.8211,120647.3111
물류창고업체,영업중,전라남도 목포시 대양산단로149번길 41 (대양동),58600,쿠팡로지스틱스서비스(유),145047.5703,148768.0245
물류창고업체,영업중,"인천광역시 강화군 하점면 강화서로 579, ES강화농산",23016,(주)ES강화농산,145788.9157,471652.0259
물류창고업체,영업중,전라남도 영암군 삼호읍 대불로 629,58448,(주)동방 목포지사,146685.2892,141941.677
물류창고업체,영업중,전라남도 무안군 삼향읍 영산로 1322-8,58558,쿠팡로지스틱스서비스 유한회사,147498.6264,153297.1727
물류창고업체,영업중,전라남도 무안군 삼향읍 영산로 990,534-822,삼성전자로지텍(주),147614.9203,150325.4269
물류창고업체,영업중,전라남도 영암군 삼호읍 대불역로 133,58448,(주)동방목포지사,148457.4089,142216.8279
물류창고업체,영업중,충청남도 서산시 지곡면 왕산이로 56-23,31919,(주)협신통운,149097.1341,373683.9354
물류창고업체,영업중,전라남도 영광군 홍농읍 연우로6길 56,513-884,굴비골농협,149208.6497,210218.1293
물류창고업체,영업중,충청남도 서산시 지곡면 한새지1길 42,,(주)한국물류SKK,150357.3874,376624.5346
물류창고업체,영업중,충청남도 서산시 대산읍 충의로 2785,31904,인슐레이션 주식회사,150371.7684,388441.3844
물류창고업체,영업중,전라남도 무안군 삼향읍 삼일로 138,58563,주식회사 엘엑스판토스,150940.3381,148545.1847
물류창고업체,영업중,충청남도 서산시 성연면 성연4로 197-40,31931,대현산업,151171.026,370398.1514
물류창고업체,영업중,"인천광역시 중구 공항동로295번길 77-45, 외항사화물터미널 C동 43,44,45,46 게이트호 (운서동)",22381,코스모항운(주),152176.5173,440651.4005
물류창고업체,영업중,"인천광역시 중구 공항동로296번길 98-114 (운서동, 삼성전자로지텍 B2)",400-340,삼성전자로지텍(주),152264.1381,437747.2927
물류창고업체,영업중,"인천광역시 중구 자유무역로 242, PNS 인천공항 물류센터 (운서동)",22379,(주)피앤에스네트웍스,153182.5435,442883.028
물류창고업체,영업중,인천광역시 중구 자유무역로 228 (운서동),22379,(주)쉥커코리아,153222.0629,443058.0817
물류창고업체,영업중,"인천광역시 중구 자유무역로 232, 한진 지디씨물류센터 (운서동)",22379,(주)한진,153280.8993,442974.0461
물류창고업체,영업중,인천광역시 중구 자유무역로 259 (운서동),22379,(주)이룸로지스틱스,153292.0776,442732.8075
물류창고업체,영업중,"인천광역시 중구 공항동로296번길 97-49, 인천국제공항자유무역지역 G4동 (운서동)",22379,(주)하나로티앤에스,153521.4398,442333.1376
물류창고업체,영업중,"인천광역시 중구 공항동로296번길 97-49 (운서동, 자유무역지역 공항물류단지 G3블럭)",400-340,(주)쉥커코리아,153521.4398,442333.1376
물류창고업체,영업중,"인천광역시 중구 공항동로296번길 98-30 (운서동, (주)범한판토스)",22379,(주)엘엑스판토스,153897.0878,441967.4209
